run_id,condition_index,repetition,seed,party_adaptation,base_pressure,mean_margin,control_change_rate,party_gap,blue_position,red_position,turnout_rate
0,0,0,18402749602203652153,0.0,0.0,24.378144686580445,0.0,0.6905619504127474,-0.19056195041274743,0.5,63.6
1,0,1,13808986468414001814,0.0,0.0,14.704443695441972,4.040404040404041,0.6680638514308161,-0.1859780798798294,0.4820857715509868,63.8
2,0,2,10116586503037744457,0.0,0.0,15.980585038753997,0.0,0.6968296452996298,-0.1968296452996298,0.5,69.4
3,0,3,17938835419667548604,0.0,0.0,13.697776002181989,2.0202020202020203,0.6651344821613988,-0.18267117709699296,0.4824633050644058,63.2
4,0,4,7060503153476306114,0.0,0.0,26.711922373278554,0.0,0.6913517230962127,-0.5,0.19135172309621273,65.0
5,0,5,16568399588521534032,0.0,0.0,10.808618325913685,4.040404040404041,0.6959804736173388,-0.21337829349960727,0.4826021801177316,65.0
6,0,6,18090256421956235832,0.0,0.0,14.530478222404358,4.040404040404041,0.6656116688187547,-0.1843278871745673,0.48128378164418734,64.2
7,0,7,6500944186947592735,0.0,0.0,15.555284533835453,1.0101010101010102,0.6944786642583599,-0.20308738043041108,0.49139128382794883,64.8
8,0,8,5271768069377481754,0.0,0.0,19.57371722460524,0.0,0.6887322933591941,-0.18873229335919403,0.5,65.4
9,0,9,2006604973784634265,0.0,0.0,11.235102664611896,8.080808080808081,0.6541474804848151,-0.18977239474356028,0.4643750857412548,68.4
10,1,0,8549157227298285522,0.0,0.25,19.94250891551052,0.0,0.6863463688879341,-0.18634636888793416,0.5,63.0
11,1,1,17819892903415314076,0.0,0.25,18.308439888341518,0.0,0.6804973360809334,-0.5,0.1804973360809335,67.2
12,1,2,6364443465828727048,0.0,0.25,13.694936714311677,4.040404040404041,0.6581776636951876,-0.48253459775907837,0.17564306593610923,67.2
13,1,3,17862945032103662374,0.0,0.25,24.03991610156437,0.0,0.6974380433021337,-0.5,0.1974380433021337,65.8
14,1,4,8942915744595678601,0.0,0.25,16.410941392463414,0.0,0.691569541332673,-0.5,0.19156954133267295,64.0
15,1,5,7347863971886010909,0.0,0.25,19.32755701102351,1.0101010101010102,0.6960676469281052,-0.4908399094736614,0.2052277374544438,62.8
16,1,6,709215631201525422,0.0,0.25,19.319037225699446,0.0,0.6953722930464681,-0.19537229304646814,0.5,65.8
17,1,7,8965320495098489664,0.0,0.25,14.266575541992696,2.0202020202020203,0.6872003455104119,-0.19693006692862158,0.49027027858179034,65.4
18,1,8,10497397459611048065,0.0,0.25,8.73015568147182,8.080808080808081,0.6814983820399149,-0.2326190013252495,0.4488793807146654,66.0
19,1,9,5741987633286171860,0.0,0.25,13.588866817920882,2.0202020202020203,0.6993641419618868,-0.4917314596090988,0.20763268235278792,67.8
20,2,0,4155790647435686321,0.0,0.5,12.841898065330929,0.0,0.7048793691604144,-0.5,0.2048793691604144,63.6
21,2,1,1302171993514254698,0.0,0.5,15.761309436544554,0.0,0.6812614321511723,-0.18126143215117227,0.5,65.4
22,2,2,11857022734734587972,0.0,0.5,15.30633422628051,5.05050505050505,0.6637171812776055,-0.19002895324435484,0.47368822803325067,65.4
23,2,3,17512683940038534200,0.0,0.5,17.047200735232295,0.0,0.6720925114726464,-0.5,0.1720925114726464,65.2
24,2,4,792168699544626072,0.0,0.5,16.56012738725018,1.0101010101010102,0.6916835666164287,-0.49082825871924596,0.20085530789718276,69.4
25,2,5,11598702600460565652,0.0,0.5,22.14669409595362,0.0,0.6952460765943355,-0.1952460765943355,0.5,63.6
26,2,6,13559265507446260268,0.0,0.5,14.882021038683305,0.0,0.6850668486686178,-0.18506684866861778,0.5,67.2
27,2,7,10465451002891458374,0.0,0.5,27.009202081907706,0.0,0.6790261766988134,-0.5,0.17902617669881335,65.2
28,2,8,1655319314680752938,0.0,0.5,20.45202997352423,0.0,0.6749020744182337,-0.5,0.17490207441823363,64.6
29,2,9,11724536325231161156,0.0,0.5,12.505571886608271,2.0202020202020203,0.6999475963457501,-0.4907838438661436,0.20916375247960647,65.0
30,3,0,8053210096387026896,0.0,0.75,27.037537539983234,0.0,0.6781870887753005,-0.5,0.1781870887753006,63.8
31,3,1,10655495520655556436,0.0,0.75,18.38955415619136,1.0101010101010102,0.6772683504621682,-0.49189856528167186,0.18536978518049624,66.8
32,3,2,9904610584844573083,0.0,0.75,18.11625098094321,0.0,0.733996006296749,-0.5,0.23399600629674905,66.6
33,3,3,4303397526913767443,0.0,0.75,27.11347277164626,0.0,0.6654690850441385,-0.5,0.16546908504413846,64.2
34,3,4,10631180196865157691,0.0,0.75,12.804614773244248,4.040404040404041,0.6809537832445041,-0.19922304300569987,0.48173074023880424,65.6
35,3,5,2066679233980803483,0.0,0.75,25.805779984184188,0.0,0.6785681975850556,-0.1785681975850556,0.5,65.2
36,3,6,440753054018922954,0.0,0.75,12.88398379883507,2.0202020202020203,0.7045660662482404,-0.49111373050076546,0.2134523357474749,65.8
37,3,7,2509458898000412876,0.0,0.75,22.893618598800614,0.0,0.6875512000993715,-0.1875512000993716,0.5,65.4
38,3,8,8848217428589277260,0.0,0.75,20.30573783877661,0.0,0.6884387069194955,-0.1884387069194955,0.5,63.0
39,3,9,11006788599861831513,0.0,0.75,15.76951566765718,0.0,0.6966385090338741,-0.19663850903387414,0.5,64.2
40,4,0,2164664195095254506,0.0,1.0,15.458607085830065,0.0,0.6976095211099875,-0.5,0.19760952110998747,69.0
41,4,1,9882612895554826377,0.0,1.0,18.575976669042603,0.0,0.682233110437594,-0.5,0.18223311043759402,66.2
42,4,2,8101908477661534132,0.0,1.0,16.32281662531,0.0,0.7021541076643762,-0.20215410766437628,0.5,65.4
43,4,3,15746211412080022513,0.0,1.0,3.981072891257445,33.333333333333336,0.5838961794902957,-0.35461852089932566,0.22927765859097005,67.2
44,4,4,9994985750895263302,0.0,1.0,16.934760334471807,0.0,0.7090212668701307,-0.5,0.20902126687013067,67.4
45,4,5,6490197761713282024,0.0,1.0,17.99175651540418,1.0101010101010102,0.6781248383190526,-0.49044051349999274,0.18768432481905983,65.6
46,4,6,14380750519882908218,0.0,1.0,18.7707780130523,0.0,0.6937060095703474,-0.5,0.19370600957034745,66.4
47,4,7,9636804809407421694,0.0,1.0,17.53125606517777,2.0202020202020203,0.6718382846017539,-0.18123372900721374,0.4906045555945402,67.6
