run_id,condition_index,repetition,seed,party_adaptation,electorate_shape,mean_margin,control_change_rate,party_gap,turnout_rate,ideology_sd,mean_voter_ideology
0,0,0,16877830188869846548,0.0,single-peaked,59.42327007746936,0.0,0.5376417659919595,64.8,0.029382639393399166,-0.006464100374605334
1,0,1,12635012490825999297,0.0,single-peaked,45.584203202051775,2.0202020202020203,0.5146259318457934,63.8,0.03807349149565093,0.007604535918724032
2,0,2,17313718383704789698,0.0,single-peaked,57.91217741551076,0.0,0.5409889593119808,64.0,0.027162210927323023,-0.010706370922177265
3,0,3,13385626076388123689,0.0,single-peaked,47.46673635353864,2.0202020202020203,0.5171810847780792,63.2,0.03242754446082363,-0.0014949266613271358
4,0,4,6460522588883905717,0.0,single-peaked,46.814584377689044,6.0606060606060606,0.511370087832293,64.0,0.03453973654371363,0.0062134777765765125
5,1,0,2258958208777571078,0.0,two-camp,32.69560796550621,3.0303030303030303,0.5437618532372633,64.6,0.04009881893795962,0.008248002157633877
6,1,1,1921681144680485777,0.0,two-camp,34.42364896684251,3.0303030303030303,0.5453802258782919,62.8,0.049796418370695435,-0.016674808299072412
7,1,2,16081557728426321325,0.0,two-camp,43.36919753264916,0.0,0.5874561321176537,64.0,0.04201776685819727,0.0388916423446356
8,1,3,18262229075984705546,0.0,two-camp,39.640759083193196,2.0202020202020203,0.5614462246417594,64.4,0.05383130336583751,-0.0203340430285901
9,1,4,7989357759562371495,0.0,two-camp,44.79157497092817,0.0,0.5823662025877294,64.6,0.04056916658337102,-0.0400308106947855
10,2,0,8090043501994593515,0.15,single-peaked,3.388867722739365,49.494949494949495,0.023444192539333178,61.0,0.040652023345642024,-0.01250953445799144
11,2,1,2438208094526795385,0.15,single-peaked,3.3735550152196665,47.474747474747474,0.021452727454269564,61.0,0.03367276661632701,0.00012908419639409146
12,2,2,10173624132403566375,0.15,single-peaked,3.1686161414255984,43.43434343434343,0.020000000000000004,62.2,0.029614439995540243,0.020837003393517767
13,2,3,1733265108770042558,0.15,single-peaked,3.1833367026380897,49.494949494949495,0.02,59.6,0.03343260252543732,-0.0002983947181651685
14,2,4,11564424821955709466,0.15,single-peaked,3.2157746829279663,59.5959595959596,0.02,61.4,0.03022650129832396,-0.007872066442365811
15,3,0,87895167702370099,0.15,two-camp,2.7750168049786827,52.525252525252526,0.02033298143943254,58.4,0.033282046695387583,0.011958748524393915
16,3,1,4969433597590068050,0.15,two-camp,3.023386221195415,56.56565656565657,0.019999999999999997,62.8,0.04078502834878905,0.008135107888931547
17,3,2,12114305043075346824,0.15,two-camp,2.9084984669981835,38.38383838383838,0.04057856134145574,65.0,0.031303092334300425,0.006443187641989548
18,3,3,11719093265645176237,0.15,two-camp,2.618670864693322,45.45454545454545,0.022780460425808474,63.0,0.03122833172171687,-0.013333213490954336
19,3,4,3788456110841998890,0.15,two-camp,3.1853560062660167,59.5959595959596,0.019999999999999997,65.4,0.033726578346647246,-0.01573765663377403
20,4,0,11714627172431013258,0.4,single-peaked,3.7579248254123665,45.45454545454545,0.02,62.8,0.05193862287659457,0.0019943295280406646
21,4,1,12050278066349610471,0.4,single-peaked,6.444988115371598,17.171717171717173,0.02,64.8,0.03047890767623835,-0.004280560218409332
22,4,2,2815812188035321450,0.4,single-peaked,5.449017011068228,20.2020202020202,0.0226603822624711,58.8,0.028740543676520357,0.012386083176631056
23,4,3,1247753125888187750,0.4,single-peaked,2.9132116941364563,51.515151515151516,0.020000000000000004,62.0,0.03612546983251662,-0.02058361543865248
24,4,4,7516752507793517538,0.4,single-peaked,3.8794642962662143,43.43434343434343,0.020000000000000004,62.6,0.03487819320878041,0.015711280287883243
25,5,0,16287325533738418174,0.4,two-camp,3.911207712013929,40.4040404040404,0.04162598470836296,61.2,0.031708723030629,0.00326510165968123
26,5,1,3422868613888037285,0.4,two-camp,3.3540671533258695,55.55555555555556,0.02698946450449407,60.4,0.03594410458886004,-0.03278001374035831
27,5,2,18049183957817372815,0.4,two-camp,5.073644754215121,26.262626262626263,0.04413808083219752,64.2,0.05308933418141662,0.02798562068080607
28,5,3,2082603162243040374,0.4,two-camp,3.959880586515756,35.35353535353536,0.02,63.2,0.03149011629591362,-0.010165347943169959
29,5,4,4430265531714391074,0.4,two-camp,4.585395784138109,22.22222222222222,0.019999999999999997,60.4,0.0315202672725084,0.012321116504862019
