run_id,condition_index,repetition,seed,electorate_shape,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
0,0,0,6732211029103980365,single-peaked,0.0,0.0,3.073960347305981,48.484848484848484,0.3142899773179675,0.010521237449947261,0.0,0.2587717892507416,6.0
1,0,1,7363769810663734884,single-peaked,0.0,0.0,3.151446509461193,48.484848484848484,0.3185493828555421,0.0039605581103528764,0.0,0.2473084481384562,6.0
2,0,2,640215193668696924,single-peaked,0.0,0.0,3.71779883829028,44.44444444444444,0.2702166888338622,0.0009461721005620936,0.31446540880503143,0.2731688254289446,6.0
3,0,3,16192813914118156599,single-peaked,0.0,0.0,4.205473877474926,39.39393939393939,0.28529550099493417,-0.033043562704451274,0.3067484662576687,0.2686376263189358,6.0
4,0,4,9109373659001110501,single-peaked,0.0,0.0,3.586973378349215,57.57575757575758,0.2888912879864147,0.005239971095721989,0.0,0.25849738633921326,6.0
5,0,5,1934608155990770807,single-peaked,0.0,0.0,4.475004976906061,25.252525252525253,0.3238393899389217,0.01584081017049128,0.32051282051282054,0.269362017016931,6.0
6,0,6,2542272686907149980,single-peaked,0.0,0.0,3.1560734411395606,54.54545454545455,0.3395178090424734,0.006851461924448751,0.0,0.28418207927530387,6.0
7,0,7,629582047894846973,single-peaked,0.0,0.0,3.5249181768074083,51.515151515151516,0.349200144338615,0.012314611327609718,0.0,0.26055144163221067,6.0
8,0,8,9376572225247809292,single-peaked,0.0,0.0,3.1469326815182677,57.57575757575758,0.29127131147068164,-0.0003643117610284783,0.0,0.2717565457838747,6.0
9,0,9,8475624297105496582,single-peaked,0.0,0.0,3.263491839744245,66.66666666666667,0.28719307342596706,0.008640346761760226,0.0,0.26617097522215233,6.0
10,1,0,11813358698774281337,single-peaked,0.0,0.05,3.5527469566776757,49.494949494949495,0.020000000000000004,0.008251171226537703,0.0,0.039344899004636974,6.0
11,1,1,11167765594051486022,single-peaked,0.0,0.05,3.2303418428216464,44.44444444444444,0.02524554755738772,0.016566973676088233,0.0,0.037050090528736174,6.0
12,1,2,18372707036901259982,single-peaked,0.0,0.05,3.8187139835910267,62.62626262626262,0.020000000000000004,0.014319339814640227,0.0,0.04934542584654013,6.0
13,1,3,10996313598350556435,single-peaked,0.0,0.05,3.3810997786105834,53.535353535353536,0.02931073347865498,0.01425708353325575,0.0,0.0409307237719633,6.0
14,1,4,8632091017883381980,single-peaked,0.0,0.05,3.4248572938394153,47.474747474747474,0.02495816109851744,0.016653153942724073,0.0,0.04119820369208929,6.0
15,1,5,12332697061631268829,single-peaked,0.0,0.05,3.4604511578019674,46.464646464646464,0.02,-0.0012438054206375657,0.0,0.04641022128539038,6.0
16,1,6,882113974141715997,single-peaked,0.0,0.05,3.2075398153247034,58.58585858585859,0.02,0.005326328567001767,0.0,0.03748573076874267,6.0
17,1,7,11224378022801459119,single-peaked,0.0,0.05,3.504296320615645,47.474747474747474,0.02,0.0006869882839290426,0.0,0.03877416904165522,6.0
18,1,8,5504380673345173197,single-peaked,0.0,0.05,3.786897735312973,41.41414141414141,0.020000000000000004,-0.008913624953855255,0.0,0.04013055372074878,6.0
19,1,9,11564502455677671033,single-peaked,0.0,0.05,3.2030482763584622,55.55555555555556,0.04597358776976697,-0.0007862274299938174,0.0,0.040358704811881925,6.0
20,2,0,13480735115891270680,single-peaked,0.0,0.1,3.917314275709491,45.45454545454545,0.024419683260597274,0.0035443079061908637,0.0,0.027612738678960618,6.0
21,2,1,16629575718139028187,single-peaked,0.0,0.1,2.761776552030116,54.54545454545455,0.02,0.004334775981534543,0.0,0.03350994347657112,6.0
22,2,2,2641440030196927859,single-peaked,0.0,0.1,3.8974672935708856,46.464646464646464,0.020000000000000004,0.01671705118258307,0.0,0.025593259993967773,6.0
23,2,3,7483454082054145210,single-peaked,0.0,0.1,3.572982850644645,58.58585858585859,0.019999999999999997,-0.013566150800671284,0.0,0.02728569006521931,6.0
24,2,4,3783996313973092193,single-peaked,0.0,0.1,3.0783261178398065,56.56565656565657,0.02,0.005059745484919282,0.0,0.02517509885127672,6.0
25,2,5,10102254913116508991,single-peaked,0.0,0.1,3.0896077354639533,44.44444444444444,0.02,-0.0014955122401416733,0.0,0.02625215693082054,6.0
26,2,6,5480380769795015057,single-peaked,0.0,0.1,3.3128681468178103,42.42424242424242,0.02,0.004015993893488056,0.0,0.030838666701192053,6.0
27,2,7,18065158035396679698,single-peaked,0.0,0.1,3.4362582769288412,51.515151515151516,0.02,0.011475585019664815,0.0,0.027998155643820265,6.0
28,2,8,11404503818032373861,single-peaked,0.0,0.1,4.6359847140702275,43.43434343434343,0.02,0.005088791593116968,0.0,0.02815686174104772,6.0
29,2,9,6683914713890887688,single-peaked,0.0,0.1,4.181692248021641,38.38383838383838,0.02,-0.003664592450288969,0.0,0.025954195595254213,6.0
30,3,0,9585182945014615410,single-peaked,0.0,0.2,3.2601855001746554,52.525252525252526,0.019999999999999997,0.01403280515691391,0.0,0.01920848312682091,6.0
31,3,1,11977956704108605906,single-peaked,0.0,0.2,3.6146487558547293,48.484848484848484,0.02022998171070218,-0.013035279720779648,0.0,0.03126783103940942,6.0
32,3,2,10830833137183460557,single-peaked,0.0,0.2,3.364117335292656,52.525252525252526,0.020000000000000004,-0.005946541081670343,0.0,0.018253245740709335,6.0
33,3,3,13788386966921405064,single-peaked,0.0,0.2,4.87595780350325,25.252525252525253,0.020000000000000004,0.01891067023120663,0.0,0.025573754996033853,6.0
34,3,4,11073768380919760425,single-peaked,0.0,0.2,3.531340851018052,57.57575757575758,0.02447411934076396,0.008462467921362913,0.0,0.023060925580179154,6.0
35,3,5,17753750358869550995,single-peaked,0.0,0.2,3.9177037080904706,48.484848484848484,0.02,0.005227929989740169,0.0,0.02697649697990268,6.0
36,3,6,5609512454171761219,single-peaked,0.0,0.2,3.8398670640763104,41.41414141414141,0.020000000000000004,-0.005907172313472051,0.0,0.018905231466499774,6.0
37,3,7,13170693422933572454,single-peaked,0.0,0.2,3.5155798492217776,56.56565656565657,0.020000000000000004,-0.01047417148184747,0.0,0.03304651502699256,6.0
38,3,8,5818152638373820497,single-peaked,0.0,0.2,3.4943811618000074,57.57575757575758,0.02,0.006276331683891803,0.0,0.023222498816093746,6.0
39,3,9,7018209618647598333,single-peaked,0.0,0.2,3.350873701039212,42.42424242424242,0.0267915108762321,0.0005288842560388205,0.0,0.021857740823321953,6.0
40,4,0,4088514146405697014,single-peaked,0.0,0.4,3.8823787586088168,46.464646464646464,0.019999999999999997,0.01771495941492128,0.0,0.014538084348459933,6.0
41,4,1,15088848316208202454,single-peaked,0.0,0.4,3.4595356931818344,50.505050505050505,0.020000000000000004,0.008126154671181973,0.0,0.013180976411768077,6.0
42,4,2,15214696405782943633,single-peaked,0.0,0.4,3.1248979737765774,50.505050505050505,0.020835432557525797,0.006347763200890261,0.0,0.013740507044261868,6.0
43,4,3,16041483791146895363,single-peaked,0.0,0.4,4.055551450441516,51.515151515151516,0.020000000000000004,-0.03703865361900875,0.0,0.02011831033770096,6.0
44,4,4,9604378203638656927,single-peaked,0.0,0.4,3.964209796631896,55.55555555555556,0.020000000000000004,0.0238648376389668,0.0,0.01392319931097407,6.0
45,4,5,2355868852405100719,single-peaked,0.0,0.4,4.780021850662304,33.333333333333336,0.02,-0.003008562676308375,0.0,0.013900961604121702,6.0
46,4,6,12846525153299331592,single-peaked,0.0,0.4,4.421544083507948,43.43434343434343,0.020000000000000004,0.023349294100248524,0.0,0.013578566503937862,6.0
47,4,7,9303968945936952555,single-peaked,0.0,0.4,3.815641614052059,50.505050505050505,0.024341280570202857,-0.019153573201996878,0.0,0.013918412373209378,6.0
48,4,8,2541214929352476731,single-peaked,0.0,0.4,3.517618306802399,59.5959595959596,0.02,0.008764128666220198,0.0,0.014083121314028951,6.0
49,4,9,5718856635558986870,single-peaked,0.0,0.4,3.8477039568737497,53.535353535353536,0.019999999999999997,-0.020573638320950636,0.0,0.02087291350965671,6.0
50,5,0,11898539986004871143,single-peaked,0.25,0.0,3.1705690369814046,56.56565656565657,0.3559169429974959,-0.010911926839710156,0.3125,0.271933543367574,6.0
51,5,1,8831870331447041460,single-peaked,0.25,0.0,3.535818297908623,49.494949494949495,0.3390041603068782,-0.005750348965792563,0.3048780487804878,0.2606943484550794,6.0
52,5,2,13130685633077673140,single-peaked,0.25,0.0,3.2406383150222906,48.484848484848484,0.3227361770998202,-0.007833861867735449,0.31645569620253167,0.28061766954431,6.0
53,5,3,14481796841627677838,single-peaked,0.25,0.0,3.3667970621187155,58.58585858585859,0.33188790766882015,0.012712819457504404,0.3067484662576687,0.2595834323667204,6.0
54,5,4,10391511841218276091,single-peaked,0.25,0.0,3.1908383847902018,52.525252525252526,0.28115482433223515,0.002677480378450335,0.0,0.2596226828162793,6.0
55,5,5,13743391826615082380,single-peaked,0.25,0.0,2.8803250189213383,55.55555555555556,0.3417765252244418,-0.013702663762923683,0.0,0.2598386326744288,6.0
56,5,6,3426838219483703262,single-peaked,0.25,0.0,3.137111752473253,49.494949494949495,0.28418752405206477,-0.013057514416014219,0.0,0.27625427735782293,6.0
57,5,7,14394845818615838082,single-peaked,0.25,0.0,3.1956715176550885,53.535353535353536,0.3247609125763914,-0.01804580546844178,0.0,0.26047776512297444,6.0
58,5,8,9463849237463693047,single-peaked,0.25,0.0,3.5810416372949896,47.474747474747474,0.28185561425193645,0.004862041894455252,0.970873786407767,0.2665762105778652,6.0
59,5,9,7127195628492786659,single-peaked,0.25,0.0,2.787271378861966,46.464646464646464,0.30714792938175706,0.001368288693619963,0.5988023952095808,0.2782401067117321,6.0
60,6,0,8447105117482885663,single-peaked,0.25,0.05,3.8861374436288316,48.484848484848484,0.033002320068838395,0.006071147106653417,0.0,0.04422868235562299,6.0
61,6,1,2736410706574724016,single-peaked,0.25,0.05,3.5107729794710885,54.54545454545455,0.06877417824488152,0.00026418565803734185,0.0,0.03966755463147937,6.0
62,6,2,8837402911600931823,single-peaked,0.25,0.05,3.252641671688229,49.494949494949495,0.024396387141711214,-0.015442676879761202,0.0,0.04051162196258147,6.0
63,6,3,1472212698836120339,single-peaked,0.25,0.05,3.1072210442238877,53.535353535353536,0.019999999999999997,0.015598913523018123,0.0,0.04006857216009401,6.0
64,6,4,1587993772778303977,single-peaked,0.25,0.05,3.508733144580359,51.515151515151516,0.02,-2.125770828383433e-05,0.0,0.05712403680827731,6.0
65,6,5,2837979200007860214,single-peaked,0.25,0.05,3.765661696969935,47.474747474747474,0.0429063950979275,-0.013652547920471858,0.0,0.039711380148119264,6.0
66,6,6,12153215198821041489,single-peaked,0.25,0.05,3.5534350710009655,44.44444444444444,0.02,-0.007074757294816336,0.0,0.04073852228670647,6.0
67,6,7,16518484273491334507,single-peaked,0.25,0.05,3.9716717149139837,42.42424242424242,0.02,-0.0055655651293442686,0.0,0.04001364207385002,6.0
68,6,8,18308156584085411329,single-peaked,0.25,0.05,3.425408761536922,45.45454545454545,0.029512148124969245,0.007781758210736915,0.0,0.037167256428392574,6.0
69,6,9,10773996244063839151,single-peaked,0.25,0.05,3.4071151943692772,48.484848484848484,0.02204562139351298,0.01589303304107428,0.0,0.042997965307211714,6.0
70,7,0,11748567291781045303,single-peaked,0.25,0.1,3.3130514984076984,48.484848484848484,0.02,-0.006770565340990546,0.0,0.027009810595427352,6.0
71,7,1,2344020488999445215,single-peaked,0.25,0.1,4.561288552215073,50.505050505050505,0.020000000000000004,0.0222714752472585,0.0,0.029974712746448334,6.0
72,7,2,10198466368858625575,single-peaked,0.25,0.1,3.0437672979067254,44.44444444444444,0.02,0.0029299785137872282,0.0,0.02684190021986239,6.0
73,7,3,16624729137053530569,single-peaked,0.25,0.1,3.6930331995412864,57.57575757575758,0.019999999999999997,0.02038655985960112,0.0,0.03410145657663494,6.0
