run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
0,0,0,18402749602203652153,0.0,0.0,3.2704098360721265,41.41414141414141,0.32648669255966833,-0.0026928609865690704,0.0,0.42486127432012244,6.0
1,0,1,13808986468414001814,0.0,0.0,3.4901148411504037,44.44444444444444,0.31740459452732106,-0.000276228509290168,0.3184713375796178,0.45176543900092453,6.0
2,0,2,10116586503037744457,0.0,0.0,2.759949211348836,50.505050505050505,0.1851795796950888,-0.011771276721209393,0.3105590062111801,0.44270318814195014,6.0
3,0,3,17938835419667548604,0.0,0.0,3.9718816660258334,42.42424242424242,0.3287373954371253,0.0045005186760294705,0.0,0.44503679973551946,6.0
4,0,4,7060503153476306114,0.0,0.0,3.6009762878071694,41.41414141414141,0.4456443804867686,0.027518490536107363,0.0,0.4505497182552804,6.0
5,0,5,16568399588521534032,0.0,0.0,2.9600577393330973,43.43434343434343,0.29003784646924624,-0.029435289889922018,0.6153846153846154,0.44125549290971994,6.0
6,0,6,18090256421956235832,0.0,0.0,2.8965143570913443,52.525252525252526,0.4361422740396281,-0.009116215525957995,0.303951367781155,0.4427601083011888,6.0
7,0,7,6500944186947592735,0.0,0.0,3.0490663522037744,38.38383838383838,0.373928799149502,0.05547046560969176,0.6172839506172839,0.43505387490990544,6.0
8,0,8,5271768069377481754,0.0,0.0,2.66603244365547,39.39393939393939,0.3006857356675443,0.0012789780522286414,0.0,0.42881408902219426,6.0
9,0,9,2006604973784634265,0.0,0.0,3.212600873236035,49.494949494949495,0.3181299935845265,0.01971443840202516,0.3194888178913738,0.4351148513751412,6.0
10,1,0,8549157227298285522,0.0,0.05,4.055179632767664,42.42424242424242,0.022272718500603604,0.03834265071196532,0.0,0.05094172177203951,6.0
11,1,1,17819892903415314076,0.0,0.05,3.2707803510209112,41.41414141414141,0.02,-0.01045969035561642,0.0,0.046286223577974184,6.0
12,1,2,6364443465828727048,0.0,0.05,3.400473404163263,55.55555555555556,0.029932493774288093,0.009330039343725364,0.0,0.0452554145155944,6.0
